SMILES,Actual Value,Predicted Value
COc1ccc(C(=O)/C=C/c2ccc(C(=O)O)cc2)cc1OC,7.97,6.7352405
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](OCc1cn(/C=C/n2nnc3ccccc32)nn1)c1ccnc2ccc(OC)cc12,5.82,5.537487
Cc1c(O)c(=O)ccn1CCCCCCNc1ccnc2cc(Cl)ccc12,8.4,6.722497
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,5.43,5.510862
CC1(CCC(=O)NCCCN2CCN(CCCNC(=O)CCC3(C)OOC4(CCCCC4)OO3)CC2)OOC2(CCCCC2)OO1,7.32,6.6660686
CSc1cccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)c1,5.23,4.8202143
CC(=O)c1ccc(CN(C)C(=O)n2cnc(S(=O)(=O)[C@@H]3C[C@H]4CC[C@@H]3C4)n2)cc1,7.3,7.154485
O=S1(=O)C[C@@H]2[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](COCc3ccccc3)O[C@H]2c2ccccc21,5.38,5.6111026
O=c1[nH]c2cnc3ccc(-c4ccc5[nH]cnc5c4)cc3c2n1-c1cccc(C(F)(F)F)c1,6.46,5.7066627
COC(=O)/C(C)=C/c1ccc(Oc2ccc(N/C(=N/c3cccc(Cl)c3)NCCNc3ccnc4cc(Cl)ccc34)cc2)cc1,7.31,7.26131
S=C(NCCCNCCCCCNCCCNC(=S)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1,7.4,6.5884185
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.33,5.524433
N/C(=N\N=C\c1ccc(O)cc1O)N[N+](=O)[O-],5.34,5.507672
c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,7.16,7.0887184
Cc1ccc(C(=O)Nc2ccc(Oc3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1C,4.88,4.922254
CCCCCC(=O)NNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1,4.61,4.2928224
O=C(O)CSc1nnc(CNc2cccc(C(F)(F)F)c2)n1Cc1ccco1,4.31,4.920922
CCOC(=O)c1c(NC(=O)C2C3C=CC(C3)C2(C)C(=O)O)sc2c1CCCC2,5.09,4.9911556
CCc1nnc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)/C=C/c3cccs3)cc2)s1,5.04,5.0744066
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4ccccc4cn3)cn2C)cn1C,5.33,5.183751
CCN1C(=O)N(CCC(C)C)C2(CCN(Cc3cc(Cl)cc(Cl)c3O)CC2)C1=O,6.34,6.2591524
O=C(CSc1cccc(Cl)c1)c1c[nH]c2ccccc12,4.36,5.767845
COc1cccc2c(=O)n(CC(=O)N3CCCCCC3)ccc12,4.75,4.9277925
COc1cc(/C=N/Nc2ccc(Cl)c(C(=O)O)c2)ccc1OC(=O)c1cccs1,4.26,4.718356
O=c1[nH]c2cnc3ccc(-c4ccc(Cl)cc4)cc3c2n1-c1cccc(C(F)(F)F)c1,5.45,5.145617
N/C(CC(O)c1cccc2ccccc12)=N\N=C\c1ccc(C(F)(F)F)cc1,6.96,6.8398275
Cc1ccc(OCC(=O)Nc2ccc(O)c(C(=O)O)c2)cc1C,4.71,4.7575784
CC(C)=CCC/C(C)=C/COCC(=O)NC1C2CC3CC(C2)CC1C3,4.96,5.238685
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C(C)C)N(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N[C@@H](C)C(=O)NCc1ccccc1.O=C(O)C(F)(F)F,5.27,6.342012
CC(C)(C)C(=O)NC(C(=O)NO)c1ccc(-c2cc(F)cc(F)c2)cc1,6.84,6.8654165
CN1CCN(C(=O)CC[C@H](Cc2ccccc2)Nc2ccnc3cc(Cl)ccc23)CC1,7.94,7.5226636
Cn1c(=O)n(-c2ccc(C(F)(F)F)cc2)c2c3cc(-c4ccc(N)nc4)ccc3ncc21,6.62,6.9420524
Cn1c(=O)n(-c2ccc(C#N)cc2)c2c3cc(-c4ccc(N)nc4)ccc3ncc21,6.93,6.680856
Cn1c(=O)n(-c2cccc(C(F)(F)F)c2)c2c3cc(-c4ccc5[nH]cnc5c4)ccc3ncc21,6.8,6.3008432
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,5.86,4.6374874
Nc1ccc(-c2ccc3ncc4[nH]c(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,7.01,6.4529347
CCCCCC(=O)NCCc1c[nH]c2ccc(OC)cc12,4.72,4.95592
Cc1ccc(NC(=O)CSc2ncccc2C(=O)Oc2cccc([N+](=O)[O-])c2)cc1Cl,4.5,5.094291
CC(C)CCN1C(=O)N(C(C)C)C(=O)C12CCN(Cc1cc(Cl)ccc1O)CC2,6.96,6.313687
O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)NCCNC(=O)CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,7.77,8.064322
C(=N/Nc1nncc2ccccc12)\c1c[nH]c2ccccc12,4.86,5.055904
CCC/C(=N\N=C(/N)CC(O)c1cccc2ccccc12)c1ccccc1,6.62,6.2595935
OC1(c2cn(Cc3ccccc3)nn2)CCCCC1,4.21,5.0226107
Nc1ncn(Cc2ccc(CCc3ccc(C[n+]4ccc(N5CCCC5)cc4)cc3)cc2)c2ncnc1-2.[Br-],6.68,6.893779
COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4CC(=O)O[C@@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)c2c1,8.05,7.6809916
O=C(CSc1nccc(O)n1)Nc1ccc(F)c(Cl)c1,5.22,5.2250686
O=C(CCC(c1ccc(F)c(F)c1)P(=O)(O)O)NO,7.12,6.2721143
COc1ccc2cc(/C=C3\SC(=S)NC3=O)c(N3CCOCC3)nc2c1,5.75,4.888822
[Br-].c1ccc(CSc2ncnc3c2ncn3Cc2ccc(CCCCc3ccc(C[n+]4ccc(N5CCCC5)cc4)cc3)cc2)cc1,7.27,6.8109045
COC(=O)/C(C)=C/c1ccc(Oc2ccccc2N/C(=N/c2ccccc2)NCCCNc2ccnc3cc(Cl)ccc23)cc1,6.76,7.135008
O=C(O)c1c[nH]nc1-n1cnnn1,5.9,4.910491
Oc1cc(-c2ccccc2)nc2nc(SCc3ccccc3)nn12,5.3,4.5942597
O=C(N/N=C/c1ccccc1C(=O)O)c1ccc(COc2cccc3cccnc23)cc1,4.74,4.8394294
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1cc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](OC(C)=O)C[C@@H]5C[C@H](OC(C)=O)CC[C@]5(C)[C@H]4C[C@H](OC(C)=O)[C@]23C)nc2ccccc12,7.28,7.201479
COc1ccc(Oc2ccc(N/C(=N/c3ccccc3)NCCCCNc3ccnc4cc(Cl)ccc34)cc2)cc1,7.07,7.251683
Cc1ccc(Nc2nnc(SC(C)C(=O)Nc3c(C)n(C)n(-c4ccccc4)c3=O)s2)cc1,5.41,5.094905
CC(C)N(C)C(=O)n1cnc(S(=O)(=O)C2C3CC4CC(C3)CC2C4)n1,8.1,7.1065183
C1CCC(NC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,9.4,9.111545
Nc1[nH]ncc1-c1ccc(Cl)cc1,4.42,4.9866505
Cn1cc(O)c(=O)cc1CNCCNc1ccnc2cc(Cl)ccc12,6.68,6.6273003
CN(C)c1cc[n+](Cc2ccc(CCCCc3ccc(Cn4cnc(N)c5ncnc4-5)cc3)cc2)cc1.[Br-],6.03,6.767236
CCOC(=O)CCP(=O)(O)C(O)c1ccc(OC)cc1,5.07,5.240978
O=C(N/N=C/c1coc2ccccc2c1=O)c1cccc([N+](=O)[O-])c1,4.45,4.7425237
CC1CCc2c(sc(Nc3nc4c(F)cccc4s3)c2C(N)=O)C1,4.75,4.2066927
Cc1nc2ccccn2c1C(=O)NNC(=O)Nc1ccccc1,5.98,4.7353716
CC(C)S(=O)(=O)NC(=O)c1cnc(Oc2ccc3c(c2)B(O)OC3)cn1,6.89,6.531332
Sc1n[nH]c(-c2cccc(Br)c2)n1,5.65,4.796871
O=C1/C(=C/Nn2cnnc2)c2ccccc2C(=O)N1c1ccccc1,5.73,5.755442
COc1ccc(CC(CC(=O)O)C(=O)Nc2ccc(OC)cc2)cc1,5.05,4.452142
COC(=O)/C(C)=C/c1ccc(Oc2ccc(N/C(=N/c3ccc(Cl)cc3)NCCCNc3ccnc4cc(Cl)ccc34)cc2)cc1,7.41,7.1681676
CN(C)c1ccc(N=Nc2ccccc2C(=O)OCC(=O)N(C)C2CCCCC2)cc1,4.82,5.41031
CCOC(=O)C1=C(Nc2ccc(OC)cc2)S/C(=C\c2ccc(OCC(=O)O)c(OCC)c2)C1=O,4.67,4.793254
Clc1ccc(/N=C(\NCCNc2ccnc3cc(Cl)ccc23)Nc2ccccc2Oc2cc(Cl)ccc2Cl)cc1,7.24,7.167311
CC1(C(=O)O)CCC(C(=O)Nc2ccc3ccccc3c2)C1(C)C,4.9,4.779398
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](OCCc1cn(-c2ccccc2[N+](=O)[O-])nn1)c1ccnc2ccc(OC)cc12,5.48,6.5977716
Cc1nnc(NNS(=O)(=O)c2ccc(Cl)cc2)nc1O,5.8,5.0955954
O=C(NCC(=O)N1CCCC1C(=O)O)OC1CCCCC1,4.41,5.1362524
Cn1c(=O)n(-c2cccc(C(F)(F)F)c2)c2c3cc(-c4ccccc4)ccc3ncc21,5.33,5.8991184
Cc1ccccc1NC(=O)CN1C(=O)NC2(CCCCC2)C1=O,4.14,4.7539005
CC/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,4.33,4.434258
O=C1/C(=C/c2ccc(C(=O)O)cc2)CCC/C1=C\c1ccc(C(=O)O)cc1,4.2,5.2181044
O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)Nc1ccc(NC(=O)CC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)cc1,7.23,7.829486
CCCCCCCCN(CCCCCCCC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,7.02,7.4207754
CCOc1ccc(NC(=O)Nc2ccc3nccnc3c2)cc1,5.26,5.1737366
O=C(O)CCC(=O)Nc1sc2c(c1C(=O)Nc1cccc3ccccc13)CCCCC2,4.29,4.440678
O=C(NCCCNCCCCCCNCCCNC(=O)Nc1ccccc1)Nc1ccccc1,7.06,5.3111944
c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,6.96,7.1040053
O=C(CSc1nc[nH]n1)Nc1nnc(-c2ccccc2)s1,4.37,4.8077164
Cc1cc(C)c(NC(=O)CN2C(=O)NC3(CCCCC3)C2=O)c(Cl)c1,4.53,4.78579
Cc1cccc(C)c1Nc1nnc(SC(C)C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)s1,4.87,5.029566
c1ccc2c(NCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,6.2,6.9696097
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](O)[C@H](O)[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)nc2ccc(OC)cc12,6.56,6.6541605
CC(C)n1c(SCC(=O)Nc2nncs2)nnc1-c1ccco1,5.33,4.861287
CC1(C)[N+]([O-])=CC(c2cccs2)=[N+]1[O-],4.64,4.81248
Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4ccc(Cl)cc4Cl)cn3C)cn2C)cc1C(=O)NCCN1CCOCC1,5.75,5.5854793
O=c1c2c([nH]c3ccccc13)CN(Cc1ccc(OC(F)(F)F)cc1)C2,6.7,5.4433246
S=C(NCCCNCCCCCCNCCCNC(=S)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1,6.51,6.510593
O=C(O)CCCCCn1c(SCC(=O)c2ccc(O)c(O)c2)nc2ccsc2c1=O,4.89,4.7983584
COc1cccc(/C=N/NC(=S)Nc2cccc(C(=O)O)c2)c1,4.8,4.6191835
Cc1ccc(SC(=C(Cl)Cl)C(=C2Nc3ccccc3N2)[N+](=O)[O-])cc1,4.12,4.800592
c1ccc2c(NCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,6.31,6.6869683
CC(C)N(C)C(=O)n1cnc(S(=O)(=O)c2ccc(Cl)cc2)n1,7.72,6.456495
Cn1cc(NC(=O)c2cc(NC(=O)c3ccc(/C=C/c4cccc(F)c4)cc3)cn2C)cc1C(=O)NCCN1CCOCC1,5.48,5.656629
O=C(/C=C/c1cccc(NC(=S)Nc2ccccc2)c1)C[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,4.88,5.040904
CC[C@H](C)[C@@H](C(=O)N1CCC(Cc2ccccc2)CC1)N1C(=O)c2ccccc2C1=O,4.27,4.385357
Cc1ccc(Cn2ccc(NC(=O)C3C4CCC(C4)C3C(=O)O)n2)cc1,4.99,5.1782427
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C)C(=O)N[C@@H](C)/C=C/C(=O)N[C@@H](C)C(=O)NCc1ccccc1.O=C(O)C(F)(F)F,5.18,6.4527926
CCCCc1ccc(C(=O)NC(C(=O)O)C(C)C)cc1,5.33,5.5975857
CCOc1ccc(Nc2nc(Cc3nnc(SCC(=O)NCc4ccco4)n3CC)cs2)cc1,4.55,5.722671
CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](OC(C)=O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C1,4.52,4.467217
CCNC(=O)c1cnc(Oc2ccc3c(c2)B(O)OC3)cn1,6.06,6.4317927
Cc1cc(OCC(=O)Nn2cnnc2)ccc1Br,5.59,5.5541863
Cn1cc(OCc2ccccc2)c(=O)cc1CNCCCCCCNc1ccnc2cc(Cl)ccc12,6.41,6.54531
COCCNC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,5.67,5.681848
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,8.64,5.413199
Cc1c(C(=O)Nn2cnnc2)oc2ccccc12,6.18,5.0371056
Cc1oc(C(C)(C)C)cc1C(=O)NC(Cc1ccccc1)C(=O)O,4.89,4.8578806
CC(C)OC(=O)OCOP(=O)(OCOC(=O)OC(C)C)C(OCC(=O)N(C)O)c1ccc(F)c(F)c1,7.46,7.8583045
O=C(CSc1nnc(NC(=O)c2c(F)cccc2F)s1)Nc1ccc(F)cc1,4.49,4.7545834
CCOC(=O)c1cn(Cc2ccc(F)cc2)c2ccc3nc(-c4ccc(F)cc4)c(-c4ccc(F)cc4)nc3c2c1=O,5.12,5.1434264
O=C(O)C1CC=CCC1C(=O)Nc1ccc2c(c1)OCCO2,4.87,4.6788964
CCc1nnc(NS(=O)(=O)c2ccc(NC(=O)COc3ccc4ccccc4c3)cc2)s1,5.29,4.925644
CCCCCCCCc1n[nH]c(SC(C)C(=O)O)n1,5.27,4.832409
CC1=C(CCCCCC(=O)O)C(=O)c2ccccc2C1=O,5.35,5.2439404
O=C(CSc1nc[nH]n1)Nc1ncc(C(F)(F)F)cc1Cl,4.71,5.272888
O=c1cc(CNCCCCCCNc2ccnc3cc(Cl)ccc23)n(C2CC2)cc1O,7.52,7.5040445
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccccc1,4.61,4.8173695
C=CCN1C(=O)/C(=C/c2ccc(OCC(=O)O)cc2)S/C1=N/c1nccs1,4.72,4.6131682
COCCSc1nnc(NC(=O)c2cc(C(=O)OC)cc([N+](=O)[O-])c2)s1,4.22,4.8675737
O=[N+]([O-])c1ccc2nccnc2c1,4.4,5.3596544
COc1ccc(NC(=O)CSC2=NC(=O)CC(C)=N2)cc1,5.51,4.7181296
Cc1ccc(-c2n[nH]c3c2C(C)C(C#N)=C(N)O3)cc1,4.79,4.550407
Nc1ccc(C(=O)NC(C(=O)NO)c2ccc(-n3cccn3)cc2)cc1,6.64,6.27354
O=C1c2ccccc2-c2c1c(NCCN1CCCCC1)nc1cc(Cl)ccc21,5.63,5.480692
Oc1cc(-c2ccc(F)cc2)[nH]n1,5.95,5.57004
COC(=O)c1cccc(NC(=O)Cn2cnc3ccccc3c2=O)c1,4.36,4.948611
Clc1ccc2c(NCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,7.7,7.341274
COc1cc(NC(=O)CSc2nc3ccccc3cc2C)c(C(=O)O)cc1OC,5.8,5.6784787
O=C(CCCCC[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)Nc1cccc2cccnc12)NO,7.89,5.5440183
CC[C@H](C)[C@@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)c2cccc(c2)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)CC)NC1=O,5.4,5.0717325
Cc1ccc(-c2cc3nc(NC(C)C)[nH]c(=O)c3s2)cc1,6.61,7.019919
Clc1ccc(Cl)c(Oc2ccc(N/C(=N/c3ccccc3)NCCCNc3ccnc4cc(Cl)ccc34)cc2)c1,7.64,7.1813684
CC(C)c1sc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5ccccc5cn4)cn3C)cn2C)nc1C(=O)NCCN1CCOCC1,6.33,5.847831
O=C(Nn1cnnc1)c1csc2ccccc12,5.66,5.0996933
O=C(NCCO)c1cnc(Oc2ccc3c(c2)B(O)OC3)cn1,5.23,6.580276
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,4.08,4.518172
CCCCC(=O)NNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1,4.31,4.262749
Nc1nncn1C(=O)CCCOc1ccc(Cl)cc1Cl,5.59,5.0510674
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N[C@@H](C)C(=O)NCc1ccccc1.O=C(O)C(F)(F)F,6.5,6.342012
COc1ccc(NC(=O)CSc2nccc(C)n2)cc1,4.69,5.2971315
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,7.89,7.215149
COc1ccc(C(=O)/C=C/c2ccc(C(=O)OC3O[C@@H]4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)cc1[N+](=O)[O-],8.23,7.5723753
Cc1c(-c2cncc(-c3ccc(OC(F)(F)F)cc3)c2)[nH]c2ccccc2c1=O,7.39,7.525672
Nc1n[nH]c(N)c1N=Nc1ccc(F)cc1,5.09,5.067167
Cc1ccc(/C=c2\sc3nc(-c4ccccc4Br)nn3c2=O)o1,4.02,5.054411
COc1ccccc1-c1cc2ccccc2n(O)c1=O,5.12,5.4541616
CSCCC(NS(=O)(=O)c1ccc2nc(O)c(O)nc2c1)C(=O)O,5.16,5.084929
CN(c1ccc(Cl)cc1)c1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N5CCCC5)cc4)cc3)cc2)cc1.[Br-].[Br-],7.51,7.8407464
O=C(CSc1ccc(Br)cc1)c1c[nH]c2ccc(Br)cc12,6.92,5.5864067
CCN1C(=O)N(CCc2ccccc2)C2(CCN(Cc3cc(Cl)ccc3O)CC2)C1=O,6.54,6.0821915
O=C(NCCc1ccc(O)c(O)c1)C1COc2ccccc2O1,5.68,4.852073
CCN(CC)C(=O)n1cnc(S[C@@H]2C[C@H]3CC[C@@H]2C3)n1,5.65,6.3952456
CC1=NNC(=O)C1CC(=O)N/N=C/C(C)=C/c1ccccc1,4.28,4.7027574
O=C(CSc1ccccc1)c1c[nH]c2ccccc12,4.54,5.6088576
CC(=O)ON(C)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(OCOC(=O)OC(C)(C)C)OCOC(=O)OC(C)(C)C,6.94,7.5667963
Oc1ccc(-c2cn3ccccc3n2)cc1O,5.59,5.2224903
COc1ccc2c(c1)C(=O)C(c1ccc(N(C)C)cc1)=[N+]2[O-],8.77,5.490377
CC(C)(C)NC(=O)NC(C(=O)NO)c1ccc(-n2cccn2)cc1,6.22,5.9359083
CCNC(=O)ON(C)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,7.85,7.477176
CC1(C(=O)O)CC(C)(C(=O)O)CC(C)(C(=O)O)C1,4.23,4.5738053
CC(C)c1c(O)nc(SCC(=O)Nc2ccc3c(c2)CCC3)nc1O,5.09,5.101936
CCOc1ccccc1Nc1nnc(SCC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)s1,5.11,5.366794
CN(O)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(O)O,6.92,7.042026
CCN(CC)CCCNc1cc(Cl)cc2nc3c4cc(Cl)ccc4n(CCN4CCCC4)c3cc12,6.41,6.4329624
CC(C)(C)C1CCc2c(sc(NC(=O)C3CC=CCC3C(=O)O)c2C#N)C1,4.96,5.5783577
CCCCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,5.05,5.9736543
COc1cccc(C(=O)NC(=S)Nn2cnnc2)c1OC,5.68,6.0480323
CN(Cc1ccc(Cl)cc1)C(=O)n1cnc(S(=O)(=O)[C@@H]2C[C@H]3CC[C@@H]2C3)n1,6.22,6.440001
O=C(NCCCNCCCCCNCCCNC(=O)Nc1ccccc1)Nc1ccccc1,6.61,5.2441344
COc1ccc(/C(C)=C2/SC(=S)N(CCC(=O)O)C2=O)cc1,4.56,4.4677896
Cc1ccc(SCC2=NNC(=O)C2)cc1,5.75,5.059336
S=C(NCCCNCCCCNCCCNC(=S)NCc1ccccc1)NCc1ccccc1,6.45,6.139506
CC(C)c1ccc(C(=O)CSc2nc[nH]n2)cc1,4.48,4.543957
CCOC(=O)C(=CNc1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1)C(=O)OCC,4.8,4.5039973
[C-]#[N+][C@@H]1CC(C)(C)[C@@H]2CC[C@@]3(C)CCC[C@@]12C3,6.54,6.4917693
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1cc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC[C@@H]5C[C@H](OC(C)=O)CC[C@]5(C)[C@H]4C[C@H](OC(C)=O)[C@]23C)nc2ccc(OC)cc12,6.71,6.8212495
CC(C)[C@H](Nc1ccnc2cc(Cl)ccc12)C(=O)N1CCN(C)CC1,6.57,7.218667
S=C(NCCCNCCCNCCCNC(=S)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1,5.88,6.201705
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1cc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H](OC(C)=O)[C@@H]5C[C@H](OC(C)=O)CC[C@]5(C)[C@H]4CC[C@]23C)nc2ccccc12,6.73,6.979508
CC(C)NC(=O)c1cc(C(=O)c2cc(Cl)ccc2O)coc1=N,5.67,5.474027
COc1ccc(NC(=O)NNC(=O)CCc2ccc(O)c(O)c2)cc1OC,5.6,4.7021813
Clc1cccc(/N=C(\NCCCCNc2ccnc3cc(Cl)ccc23)Nc2ccccc2Oc2cc(Cl)ccc2Cl)c1,6.83,6.804998
CC(C)CCNC(=O)c1ccc2c(SCC(=O)O)c3c(nc2c1)CCCC3,4.41,5.0339355
N#Cc1c(O)nc(S)nc1-c1ccccc1,4.8,4.983529
CCCCc1ccc(NC(=O)CSCc2cc(O)[nH]n2)cc1,4.91,4.548512
CN(C)c1ccc(C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)Nc2cccc3cccnc23)cc1,7.89,5.630489
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](OCc1cn(-c2ccc(Cl)cc2)nn1)c1ccnc2ccc(OC)cc12,6.05,5.889109
COc1ccc(NC(=O)CSc2nc(O)cc(C)c2C#N)cc1OC,4.79,5.217816
